time,model_id,model_name,port_name,data
0,255,(24,20),,1
0,256,(3,5),,-1
0,257,(3,0),,-1
0,258,(21,7),,-1
0,259,(27,4),,-1
0,260,(2,18),,1
0,261,(26,4),,1
0,262,(0,9),,1
0,263,(24,4),,1
0,264,(23,4),,-1
0,265,(21,4),,-1
0,266,(19,5),,-1
0,267,(12,10),,1
0,268,(26,3),,1
0,269,(22,5),,1
0,270,(21,17),,-1
0,271,(20,4),,1
0,272,(18,4),,1
0,273,(1,2),,-1
0,274,(12,24),,1
0,275,(9,2),,-1
0,276,(4,27),,1
0,277,(21,26),,-1
0,278,(27,1),,-1
0,279,(0,6),,1
0,280,(4,8),,1
0,281,(24,1),,1
0,282,(26,11),,1
0,283,(4,24),,1
0,284,(23,1),,-1
0,285,(19,18),,-1
0,286,(2,7),,1
0,287,(26,2),,1
0,288,(18,25),,1
0,289,(20,0),,1
0,290,(15,1),,-1
0,291,(17,1),,-1
0,292,(0,27),,1
0,293,(16,1),,1
0,294,(6,16),,1
0,295,(8,8),,1
0,296,(20,2),,1
0,297,(19,24),,-1
0,298,(14,1),,1
0,299,(12,1),,1
0,300,(16,0),,1
0,301,(11,6),,-1
0,302,(15,6),,-1
0,303,(11,20),,-1
0,304,(0,2),,1
0,305,(10,1),,1
0,306,(13,8),,-1
0,307,(14,2),,1
0,308,(14,4),,1
0,309,(7,14),,-1
0,310,(19,14),,-1
0,311,(6,17),,1
0,312,(6,24),,1
0,313,(3,8),,-1
0,314,(26,0),,1
0,315,(20,1),,1
0,316,(16,25),,1
0,317,(19,17),,-1
0,318,(11,7),,-1
0,319,(15,18),,-1
0,320,(10,4),,1
0,321,(4,3),,1
0,322,(11,16),,1
0,323,(11,11),,-1
0,324,(24,0),,1
0,325,(7,1),,-1
0,326,(15,16),,-1
0,327,(20,18),,1
0,328,(25,8),,-1
0,329,(1,15),,-1
0,330,(4,0),,1
0,331,(14,12),,1
0,332,(17,13),,1
0,333,(26,1),,1
0,334,(19,1),,-1
0,335,(10,3),,1
0,336,(9,17),,1
0,337,(7,24),,-1
0,338,(8,0),,1
0,339,(27,0),,-1
0,340,(24,6),,1
0,341,(1,9),,-1
0,342,(27,11),,-1
0,343,(25,1),,-1
0,344,(23,21),,-1
0,345,(17,4),,-1
0,346,(2,4),,1
0,347,(1,17),,-1
0,348,(6,6),,1
0,349,(21,5),,-1
0,350,(18,27),,1
0,351,(9,1),,-1
0,352,(0,12),,1
0,353,(5,1),,-1
0,354,(27,17),,-1
0,355,(0,18),,1
0,356,(12,0),,1
0,357,(0,5),,1
0,358,(24,3),,1
0,359,(24,2),,1
0,360,(7,16),,-1
0,361,(14,8),,1
0,362,(21,18),,-1
0,363,(8,19),,-1
0,364,(12,3),,1
0,365,(2,16),,1
0,366,(3,2),,-1
0,367,(25,6),,-1
0,368,(7,22),,-1
0,369,(8,1),,1
0,370,(12,17),,1
0,371,(7,20),,1
0,372,(7,2),,-1
0,373,(9,4),,-1
0,374,(13,15),,1
0,375,(10,13),,1
0,376,(17,6),,-1
0,377,(8,25),,1
0,378,(23,24),,-1
0,379,(14,3),,1
0,380,(11,2),,-1
0,381,(23,14),,-1
0,382,(19,10),,1
0,383,(8,5),,1
0,384,(9,0),,-1
0,385,(6,7),,1
0,386,(14,16),,1
0,387,(27,6),,-1
0,388,(25,4),,-1
0,389,(7,8),,-1
0,390,(19,4),,-1
0,391,(6,4),,1
0,392,(8,4),,1
0,393,(7,9),,-1
0,394,(15,0),,-1
